cep;resultado;
02463080;SALGADOS E BOLOS DA SI - R ANTONIA TERESA DE PAULA MATIAS, 867 - JARDIM DANFER São Paulo / SP;
05567170;DONDOCA PURA E BELLA - Avenida dos Remédios, 613 - Remédios Osasco / SP;
05567170;AUTO POSTO CONQUISTA DA ALDEIA LTDA - Avenida Governador Mário Covas, 5600 - Jardim Pignatary Carapicuíba / SP;
05567170;BARBEARIA X7 - Avenida General Valdomiro de Lima, 656 - Jabaquara São Paulo / SP;
05567170;MET@ CURSOS - Rua Baquirivu, 34 - Cidade Ademar São Paulo / SP;
05567170;Status Eletronico.com - Praça Júlio Prestes, 64 - Campos Elíseos São Paulo / SP;
05567170;Oggi Sorvetes Heliópolis - Rua Coronel Silva Castro, 214 - Cidade Nova Heliópolis São Paulo / SP;
05567170;ANGEL'S CELULARES E GAMES - Avenida Doutor Francisco Ranieri, 833 - Lauzane Paulista São Paulo / SP;
05567170;ZN MARMORES E GRANITOS - Avenida General Ataliba Leonel, 727 - Santana São Paulo / SP;
05567170;Oggi Sorvetes Ipiranga - Estrada das Lágrimas, 1858 - Ipiranga São Paulo / SP;
05574010;AUTO POSTO CONQUISTA DA ALDEIA LTDA - Avenida Governador Mário Covas, 5600 - Jardim Pignatary Carapicuíba / SP;
05574010;DONDOCA PURA E BELLA - Avenida dos Remédios, 613 - Remédios Osasco / SP;
05574010;BARBEARIA X7 - Avenida General Valdomiro de Lima, 656 - Jabaquara São Paulo / SP;
05574010;MET@ CURSOS - Rua Baquirivu, 34 - Cidade Ademar São Paulo / SP;
05574010;Status Eletronico.com - Praça Júlio Prestes, 64 - Campos Elíseos São Paulo / SP;
04583110;BARBEARIA X7 - Avenida General Valdomiro de Lima, 656 - Jabaquara São Paulo / SP;
04583110;MET@ CURSOS - Rua Baquirivu, 34 - Cidade Ademar São Paulo / SP;
04583110;Oggi Sorvetes Heliópolis - Rua Coronel Silva Castro, 214 - Cidade Nova Heliópolis São Paulo / SP;
04583110;Oggi Sorvetes Ipiranga - Estrada das Lágrimas, 1858 - Ipiranga São Paulo / SP;
04583110;Status Eletronico.com - Praça Júlio Prestes, 64 - Campos Elíseos São Paulo / SP;
04583110;DONDOCA PURA E BELLA - Avenida dos Remédios, 613 - Remédios Osasco / SP;
04583110;ARMAZEM DOS CEREAIS - Rua Teresina, 222 - Vila Bertioga São Paulo / SP;
04583110;ZAP OTICA LTDA - Largo Ubirajara, 75 - Belenzinho São Paulo / SP;
04583110;ZN MARMORES E GRANITOS - Avenida General Ataliba Leonel, 727 - Santana São Paulo / SP;
04583110;IN LINE - Rua Itapura, 09 - Vila Alpina Santo André / SP;
02473060;ANGEL'S CELULARES E GAMES - Avenida Doutor Francisco Ranieri, 833 - Lauzane Paulista São Paulo / SP;
02473060;ZN MARMORES E GRANITOS - Avenida General Ataliba Leonel, 727 - Santana São Paulo / SP;
02473060;MIX PARK AUTOMOTIVE - Avenida Guapira, 493 - Tucuruvi São Paulo / SP;
02473060;Status Eletronico.com - Praça Júlio Prestes, 64 - Campos Elíseos São Paulo / SP;
02473060;Oggi Sorvetes Jardim Brasil - Avenida Mendes da Rocha, 799 - Jardim Brasil (Zona Norte) São Paulo / SP;
02473060;ZAP OTICA LTDA - Largo Ubirajara, 75 - Belenzinho São Paulo / SP;
02473060;DONDOCA PURA E BELLA - Avenida dos Remédios, 613 - Remédios Osasco / SP;
02473060;ARMAZEM DOS CEREAIS - Rua Teresina, 222 - Vila Bertioga São Paulo / SP;
02473060;SALGADOS E BOLOS DA SI - R ANTONIA TERESA DE PAULA MATIAS, 867 - JARDIM DANFER São Paulo / SP;
02473060;Oggi Sorvetes Heliópolis - Rua Coronel Silva Castro, 214 - Cidade Nova Heliópolis São Paulo / SP;
05844190;MET@ CURSOS - Rua Baquirivu, 34 - Cidade Ademar São Paulo / SP;
05844190;BARBEARIA X7 - Avenida General Valdomiro de Lima, 656 - Jabaquara São Paulo / SP;
05844190;DONDOCA PURA E BELLA - Avenida dos Remédios, 613 - Remédios Osasco / SP;
